,Adj Close,Close,High,Low,Open,Volume,SMA5,SMA50,SMA200,MACDLine,MACDSignal,MACDHist,RSI14,BBupper,BBlower,ROC12,PPO,MOM5,StochK,StochD,WillR,AccDist,PlusDI14,TR,SlowStochD,ChaikinOsc,ADX14,ATR14,^GSPC,^IXIC,^DJI,^VIX,CL=F,GC=F,SI=F,^TNX,DX-Y.NYB,FedFundsRate,y
2015-01-02,23.377290725708008,28.633333206176758,28.906667709350586,28.516666412353516,28.75666618347168,13505400,23.51989860534668,22.382356605529786,21.018616437911987,0.2933754942933149,0.31897800502183005,-0.02560251072851516,57.99746349143666,23.885365577267585,22.409571747256344,2.334985447253464,0.24839356533104176,-0.1442413330078125,65.77771504720052,74.28543171755014,-34.222284952799484,427464650.05661553,19.88234787250729,0.3900012969970703,61.74535683536648,-9461684.651571631,21.953086542970304,0.4047614506312779,2058.199951171875,4726.81005859375,17832.990234375,17.790000915527344,52.689998626708984,1186.0,15.734000205993652,2.122999906539917,91.08000183105469,0.12,23.309253692626953
2015-01-05,23.309253692626953,28.549999237060547,28.773332595825195,28.503332138061523,28.573333740234375,20937000,23.451317596435548,22.43701629638672,21.034452028274536,0.2676417222026757,0.3087107484579992,-0.04106902625532349,56.16858677343427,23.89986488301165,22.419293289595775,3.2424993974376335,0.11060499315630058,-0.34290504455566406,60.22211710611979,63.77771165635851,-39.777882893880204,413765186.31737083,17.636285019089854,0.2700004577636719,63.57431867037985,-13987326.786104143,23.17840247654477,0.3888092041015625,2020.5799560546875,4652.56982421875,17501.650390625,19.920000076293945,50.040000915527344,1203.9000244140625,16.179000854492188,2.0390000343322754,91.37999725341797,0.12,23.48887825012207
2015-01-06,23.48887825012207,28.770000457763672,28.916667938232422,28.59666633605957,28.65999984741211,24615300,23.433356857299806,22.494077682495117,21.050223817825316,0.25875891136542606,0.29872038103948456,-0.0399614696740585,59.77500780719725,23.932439279203855,22.446318769807377,2.469430212968594,0.14494301537332044,-0.08980369567871094,74.8888651529948,66.96289910210504,-25.111134847005207,415816449.0908803,20.97599023552871,0.366668701171875,64.68325704017869,-13914476.159923136,25.225027024211048,0.37571402958461214,2002.6099853515625,4592.740234375,17371.640625,21.1200008392334,47.93000030517578,1219.300048828125,16.60300064086914,1.9630000591278076,91.5,0.12,24.11208724975586
2015-01-07,24.11208724975586,29.53333282470703,29.559999465942383,28.889999389648438,28.926666259765625,25495200,23.531872940063476,22.562899665832518,21.068229875564576,0.2985653027159678,0.29868936537478125,-0.0001240626588134286,69.23349710350959,24.08641730894397,22.411267932755244,3.0951683490260757,0.5554102213952156,0.4925804138183594,98.60384066148055,77.90494097353172,-1.396159338519458,439282182.6007145,32.08821836150382,0.7899990081787109,65.00422559817393,-5153351.499727011,28.93114253555894,0.38880934034075054,2025.9000244140625,4650.47021484375,17584.51953125,19.309999465942383,48.650001525878906,1210.5999755859375,16.510000228881836,1.9539999961853027,91.88999938964844,0.12,24.621004104614258
2015-01-08,24.621004104614258,30.156667709350586,30.22333335876465,29.690000534057617,29.73666763305664,38140800,23.78170280456543,22.64076316833496,21.088633527755736,0.36694754871759727,0.3123410020433445,0.0546065466742528,74.50544435987337,24.346005312722994,22.339733250814604,6.235332817429824,1.0648106514123452,1.2491493225097656,96.87015887400223,90.1209548961592,-3.129841125997776,467887919.0029747,42.305486369037595,0.6900005340576172,64.76146522695916,8001056.671047568,33.31602018597679,0.40690462929861887,2062.139892578125,4736.18994140625,17907.869140625,17.010000228881836,48.790000915527344,1208.4000244140625,16.35099983215332,2.0160000324249268,92.37000274658203,0.12,24.316194534301758
2015-01-09,24.316194534301758,29.78333282470703,30.1299991607666,29.75,30.106666564941406,25567500,23.96948356628418,22.71382957458496,21.108368186950685,0.39202635067437086,0.32827807176954976,0.0637482789048211,67.09030779310785,24.455420474814442,22.403674717141126,3.438268387028724,1.0811444028053891,0.93890380859375,76.04352079356805,90.50584010968362,-23.956479206431954,446805886.78125995,33.39363497490612,0.40666770935058594,63.87925164265498,5947117.336632729,35.704111143649165,0.3950000490461077,2044.81005859375,4704.06982421875,17737.369140625,17.549999237060547,48.36000061035156,1216.0,16.38599967956543,1.9709999561309814,91.94000244140625,0.12,24.498538970947266
2015-01-12,24.498538970947266,30.00666618347168,30.10333251953125,29.739999771118164,29.786666870117188,22117500,24.20734062194824,22.790326499938963,21.129134817123415,0.4217534428723475,0.3469731459901093,0.0747802968822382,69.07326705037184,24.60159138510889,22.425962363975586,3.877241288508075,1.1372934323564399,1.1892852783203125,87.91818536666301,86.9439550114111,-12.081814633336984,457154463.13132375,31.21213045987216,0.36333274841308594,62.639946653749476,7858951.235153019,38.48421240464196,0.39285714285714285,2028.260009765625,4664.7099609375,17640.83984375,19.600000381469727,46.06999969482422,1232.699951171875,16.53499984741211,1.9119999408721924,91.9800033569336,0.12,24.305313110351562
2015-01-13,24.305313110351562,29.770000457763672,30.323333740234375,29.643333435058594,30.266666412353516,24646200,24.37062759399414,22.862634162902832,21.149108991622924,0.42482356391586507,0.3625432295752605,0.06228033434060459,64.62924247138363,24.67808623940754,22.49914726584148,3.3321853766974967,0.9771536558251651,0.8164348602294922,69.59709915584178,77.85293510535762,-30.402900844158225,441690202.46644473,33.237039817820694,0.6800003051757812,61.048758104254794,3006168.415254116,41.58978420039805,0.4119048799787249,2023.030029296875,4661.5,17613.6796875,20.559999465942383,45.88999938964844,1234.300048828125,17.125,1.8899999856948853,92.30999755859375,0.12,23.570514678955078
2015-01-14,23.570514678955078,28.8700008392334,29.50666618347168,28.833332061767578,29.21666717529297,35862900,24.262313079833984,22.921220169067382,21.164848012924196,0.3637712361443626,0.3627888308890809,0.0009824052552816487,51.151614751766154,24.656787695846997,22.593108353652514,-0.3451864970751684,0.3699569068180056,-0.5415725708007812,20.14661419715889,59.22063290655458,-79.8533858028411,409733383.13869935,26.147521874492792,0.9366683959960938,58.65058547720148,-9420427.834919333,41.884658923270685,0.46166692461286274,2011.27001953125,4639.31982421875,17427.08984375,21.479999542236328,48.47999954223633,1234.4000244140625,16.95599937438965,1.8370000123977661,92.16000366210938,0.12,23.78006935119629
2015-01-15,23.78006935119629,29.126667022705078,29.260000228881836,28.899999618530273,29.0,28238100,24.09412612915039,22.98394302368164,21.181180553436278,0.3285092866885577,0.3559329220489763,-0.027423635360418586,54.09188762887194,24.59251278793498,22.777671347502036,0.854107985588116,0.14733999168223172,-0.8409347534179688,34.249139335886944,41.33095089629588,-65.75086066411305,417054427.4389155,25.50303889952577,0.3899993896484375,56.452539236908464,-11318209.674928844,40.71527496857431,0.4733336312430246,1992.6700439453125,4570.81982421875,17320.7109375,22.389999389648438,46.25,1264.699951171875,17.072999954223633,1.774999976158142,92.3499984741211,0.12,23.614059448242188
