,Adj Close,Close,High,Low,Open,Volume,SMA5,SMA50,SMA200,MACDLine,MACDSignal,MACDHist,RSI14,BBupper,BBlower,ROC12,PPO,MOM5,StochK,StochD,WillR,AccDist,PlusDI14,TR,SlowStochD,ChaikinOsc,ADX14,ATR14,^GSPC,^IXIC,^DJI,^VIX,CL=F,GC=F,SI=F,^TNX,DX-Y.NYB,FedFundsRate,y
2015-01-16,2019.4200439453125,2019.4200439453125,2020.4599609375,1988.1199951171875,1992.25,4056410000,2014.930029296875,2045.99419921875,1966.4605480957032,-8.322457851909576,-2.613368031997388,-5.709089819912188,45.8982424359744,2111.348215589483,1986.8467673206728,-2.9288365347535548,-0.4538895441507817,-25.3900146484375,29.6879757966754,18.47752651781052,-70.3120242033246,304394840344.44403,9.306909897051089,32.3399658203125,41.911042495558505,-959988354.6056519,23.629884252602228,29.640032087053573,2019.4200439453125,4634.3798828125,17511.5703125,20.950000762939453,48.689998626708984,1276.9000244140625,17.73900032043457,1.815000057220459,92.5199966430664,0.13,2022.550048828125
2015-01-20,2022.550048828125,2022.550048828125,2028.93994140625,2004.489990234375,2020.760009765625,3944340000,2013.788037109375,2045.9738012695314,1967.1294482421874,-8.16560816085439,-3.723816057768789,-4.441792103085601,46.68917096237798,2110.2252652210295,1984.101724525064,-1.7654988216885201,-0.32497139051951396,-5.7099609375,34.30313379086899,22.67185282193002,-65.69686620913102,306277506788.17175,10.715655396645465,24.449951171875,40.138158422075,144930146.38616943,26.968340439742047,30.829310825892858,2022.550048828125,4654.85009765625,17515.23046875,19.889999389648438,46.38999938964844,1294.199951171875,17.94700050354004,1.8070000410079956,93.05000305175781,0.12,2032.1199951171875
2015-01-21,2032.1199951171875,2032.1199951171875,2038.2900390625,2012.0400390625,2020.18994140625,3730070000,2015.6060302734375,2045.992001953125,1967.964598388672,-7.186250343824895,-4.416302914980011,-2.769947428844884,49.137515886577724,2107.6283037957273,1982.8456952277102,-1.2671245104169002,-0.16318147495589014,9.0899658203125,45.14668841034428,36.379265999296216,-54.85331158965572,308254076154.3362,12.443475381602644,26.25,39.962141813365605,1212675227.2636719,29.80149879967242,31.915736607142858,2032.1199951171875,4667.419921875,17554.279296875,18.850000381469727,47.779998779296875,1293.699951171875,18.179000854492188,1.8530000448226929,92.9000015258789,0.12,2063.14990234375
2015-01-22,2063.14990234375,2063.14990234375,2064.6201171875,2026.3800048828125,2034.300048828125,4176050000,2025.9820068359375,2046.6165991210937,1969.055147705078,-3.861732385413916,-4.305388809066792,0.44365642365287616,56.1668684204837,2105.494048358527,1983.4409369930352,2.1068182014525703,0.16631942329714844,51.8798828125,89.0667226975996,56.172181632937615,-10.933277302400395,312109013567.14905,17.91132921842438,38.2401123046875,41.04634642749842,2765807825.5845947,30.827321813840772,32.672877720424104,2063.14990234375,4750.39990234375,17813.98046875,16.399999618530273,46.310001373291016,1300.699951171875,18.34600067138672,1.8960000276565552,94.23999786376953,0.12,2051.820068359375
2015-01-23,2051.820068359375,2051.820068359375,2062.97998046875,2050.5400390625,2062.97998046875,3573560000,2037.81201171875,2046.8878002929687,1970.0544482421874,-2.116849147402263,-3.8676808767338864,1.7508317293316233,53.27190084894212,2101.487750103514,1984.4122498964864,2.4572973952875587,0.25081198346968897,59.1500244140625,83.26793672778683,72.49378261191022,-16.73206327221317,309270868846.81305,18.46477167152745,12.60986328125,42.178622205223675,2246697129.737671,31.010599877522175,31.693577357700892,2051.820068359375,4757.8798828125,17672.599609375,16.65999984741211,45.59000015258789,1292.5999755859375,18.284000396728516,1.8170000314712524,95.0,0.12,2057.090087890625
2015-01-26,2057.090087890625,2057.090087890625,2057.6201171875,2040.969970703125,2050.419921875,3465760000,2045.3460205078125,2047.2360009765625,1970.978998413086,-0.30525132997263427,-3.155194967381636,2.8499436374090017,54.448000971510325,2097.775047318479,1985.6459731893333,1.539565778206819,0.3204695123102983,37.6700439453125,90.15684015516469,87.49716652685036,-9.843159844835316,312515975612.6014,19.53039476264831,16.650146484375,43.64791589157818,2862622440.575012,30.38122531680242,29.964303152901785,2057.090087890625,4771.759765625,17678.69921875,15.520000457763672,45.150001525878906,1279.4000244140625,17.966999053955078,1.8279999494552612,94.80000305175781,0.12,2029.550048828125
2015-01-27,2029.550048828125,2029.550048828125,2047.8599853515625,2019.9100341796875,2047.8599853515625,3329810000,2046.7460205078125,2047.062001953125,1971.961348876953,-1.0793558560039855,-2.740027145106106,1.6606712891021203,47.6925583342547,2090.4333332012543,1987.0656902362457,-1.5803895684911842,0.13489337407919433,7.0,54.15684653791594,75.86054114028914,-45.84315346208406,311483086775.6561,19.55976959740746,37.1800537109375,45.33099502867272,2525707034.1099854,29.423623732147252,29.919302804129465,2029.550048828125,4681.5,17387.2109375,17.219999313354492,46.22999954223633,1291.699951171875,18.06800079345703,1.8250000476837158,94.0199966430664,0.11,2002.1600341796875
2015-01-28,2002.1600341796875,2002.1600341796875,2042.489990234375,2001.489990234375,2032.3399658203125,4067530000,2040.7540283203125,2046.318603515625,1972.8936993408204,-3.8585060878865534,-2.9637229336621953,-0.8947831542243581,42.09822827387862,2082.3441079275826,1986.3139120919486,-2.0857694940816964,-0.1788537013385048,-29.9599609375,18.35296295291604,54.22221654866555,-81.64703704708396,307548504280.4794,18.92716252598297,41.0,47.30815291485417,906355661.7171631,29.519802676730283,30.919302804129465,2002.1600341796875,4637.990234375,17191.369140625,20.440000534057617,44.45000076293945,1285.9000244140625,18.06800079345703,1.7239999771118164,94.47000122070312,0.12,2021.25
2015-01-29,2021.25,2021.25,2024.6400146484375,1989.1800537109375,2002.449951171875,4127140000,2032.3740478515624,2045.9472045898438,1973.8468994140626,-4.469085137593993,-3.264795374448555,-1.2042897631454377,46.78356505111269,2074.487965866993,1988.2600443869135,-0.34561691952083795,-0.19720463890302373,-41.89990234375,43.307126820480335,38.605645437104094,-56.692873179519665,310886525246.7155,11.033347617196258,35.4599609375,49.17748535012329,1223595347.5664062,31.851954951019255,30.725010463169642,2021.25,4683.41015625,17416.849609375,18.760000228881836,44.529998779296875,1254.5999755859375,16.757999420166016,1.7510000467300415,94.77999877929688,0.11,1994.989990234375
2015-01-30,1994.989990234375,1994.989990234375,2023.3199462890625,1993.3800048828125,2019.3499755859375,4568650000,2021.0080322265626,2045.02060546875,1974.6069494628907,-6.991344885619128,-4.01010527668267,-2.981239608936458,41.77575668876623,2072.167173921634,1984.1898451213349,-1.3860416630713883,-0.39241467320552426,-56.830078125,8.980371444209169,23.546820405868505,-91.01962855579083,306809222873.39325,10.855110770081517,29.93994140625,51.047333045188715,-55184204.05834961,33.66800531097343,30.999293736049108,1994.989990234375,4635.240234375,17164.94921875,20.969999313354492,48.2400016784668,1278.5,17.191999435424805,1.6749999523162842,94.80000305175781,0.06,2020.8499755859375
2015-02-02,2020.8499755859375,2020.8499755859375,2021.6600341796875,1980.9000244140625,1996.6700439453125,4008330000,2013.760009765625,2044.4016040039062,1975.3996490478517,-6.8248960574726425,-4.573063432840664,-2.2518326246319784,47.71154337710448,2068.046851068247,1984.5751704161282,0.4763137699889854,-0.2812019269857879,-36.2401123046875,47.71847456020763,33.3353242749657,-52.28152543979236,310658230921.22705,10.514944164749002,40.760009765625,52.85999567574553,651379831.3203125,33.94291073615798,32.002144949776785,2020.8499755859375,4676.68994140625,17361.0390625,19.43000030517578,49.56999969482422,1276.199951171875,17.235000610351562,1.6729999780654907,94.5,0.12,2050.030029296875
