model_name,model_hyperparameters_dict,window_size,test_ratio,start_date,end_date,test_data_values_list,test_data_model_predictions_list,MSE_score,MAPE_score,R^2_score
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2015Q1,2017Q2,"[33.59050369262695, 36.087345123291016]","[29.721231848106193, 29.36803404235491]",30.06020300459591,0.1506926139096966,-18.287235191419654
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2015Q2,2017Q3,"[36.087345123291016, 39.76781463623047]","[31.986895265878758, 31.617835337197135]",41.61792580391203,0.1592823895120089,-11.289493202577768
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2015Q3,2017Q4,"[39.76781463623047, 39.58781814575195]","[33.728186914386335, 33.41318757551177]",37.30158284870639,0.1539226255681542,-4604.313266006447
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2015Q4,2018Q1,"[39.58781814575195, 43.845272064208984]","[36.693413385657536, 36.43743628224412]",31.6268049439081,0.1210337795551266,-5.979356776072486
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2016Q1,2018Q2,"[43.845272064208984, 53.656436920166016]","[37.328399681925134, 36.75074689822388]",164.1359903824839,0.231853163753977,-5.820601323415671
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2016Q2,2018Q3,"[53.656436920166016, 37.624244689941406]","[40.18067460175407, 40.561691473148535]",95.1123818332526,0.1646111384665222,-0.4801687325465182
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2016Q3,2018Q4,"[37.624244689941406, 45.50131607055664]","[48.62750853957956, 47.00628254457938]",61.66836971634312,0.1627633256224756,-2.97551042633306
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2016Q4,2019Q1,"[45.50131607055664, 47.59304428100586]","[42.65343228995082, 45.37090148305696]",6.524180321156926,0.0546397684982227,-4.964519187473706
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2017Q1,2019Q2,"[47.59304428100586, 54.061824798583984]","[45.55962105979573, 46.67977497906576]",29.3147347672028,0.0896367551279392,-1.8022129029352032
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2017Q2,2019Q3,"[54.061824798583984, 71.09394836425781]","[47.84319236789877, 43.65215914711243]",395.8615923731033,0.2505107422246254,-4.458405052277859
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2017Q3,2019Q4,"[71.09394836425781, 61.71084976196289]","[47.78148932288459, 46.5513528065587]",386.6405472483066,0.2867821353150783,-16.566078850943686
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2017Q4,2020Q1,"[61.71084976196289, 88.76895141601562]","[60.559130935740555, 58.87444116995032]",447.5040995533891,0.1777153946865502,-1.4449070984688137
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2018Q1,2020Q2,"[88.76895141601562, 112.9261703491211]","[57.096244759829034, 55.82833108865241]",2131.6617975715826,0.4312101716835609,-13.611150793412827
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2018Q2,2020Q3,"[112.9261703491211, 129.6090850830078]","[72.63476781073865, 74.48339467833517]",2331.119430550894,0.391058466634028,-32.50276533695199
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2018Q3,2020Q4,"[129.6090850830078, 119.4920883178711]","[89.60643920682901, 81.30141622788324]",1529.3695558899713,0.314124564659204,-58.768066939254915
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2018Q4,2021Q1,"[119.4920883178711, 134.2074432373047]","[105.75271545684105, 104.49741803366754]",535.7279821075817,0.1681776723158949,-8.896071848080892
GB,"{""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.5}",10,0.2,2019Q1,2021Q2,"[134.2074432373047, 138.8638916015625]","[113.69238498234738, 113.73792718440922]",526.0908515481725,0.1669001588474136,-96.05349027056988
