model_name,model_hyperparameters_dict,window_size,test_ratio,start_date,end_date,test_data_values_list,test_data_model_predictions_list,MSE_score,MAPE_score,R^2_score
SVM,"{""C"": 0.25, ""epsilon"": 1e-05, ""kernel"": ""rbf""}",10,0.2,2015Q1,2017Q2,"[33.59050369262695, 36.087345123291016]","[25.773809074589376, 25.602981323893662]",85.51129951488566,0.2616164622427809,-53.8657820113647
SVM,"{""C"": 0.25, ""epsilon"": 1e-05, ""kernel"": ""rbf""}",10,0.2,2015Q2,2017Q3,"[36.087345123291016, 39.76781463623047]","[26.446491533851113, 25.94780379364285]",141.9693788111278,0.3073353949319133,-40.92260143126933
SVM,"{""C"": 0.25, ""epsilon"": 1e-05, ""kernel"": ""rbf""}",10,0.2,2015Q3,2017Q4,"[39.76781463623047, 39.58781814575195]","[27.317726096586842, 26.7833418353432]",159.47965911439226,0.318257163755631,-19688.614587043383
SVM,"{""C"": 0.25, ""epsilon"": 1e-05, ""kernel"": ""rbf""}",10,0.2,2015Q4,2018Q1,"[39.58781814575195, 43.845272064208984]","[30.334132664368376, 30.158335887217564]",136.48145845070286,0.2729576523625652,-29.118527417978957
SVM,"{""C"": 0.25, ""epsilon"": 1e-05, ""kernel"": ""rbf""}",10,0.2,2016Q1,2018Q2,"[43.845272064208984, 53.656436920166016]","[33.615826722145925, 33.48611653615211]",255.74168820001125,0.3046119831874022,-9.627237164285583
SVM,"{""C"": 0.25, ""epsilon"": 1e-05, ""kernel"": ""rbf""}",10,0.2,2016Q2,2018Q3,"[53.656436920166016, 37.624244689941406]","[35.900846432721565, 35.40763235113034]",160.08718190919868,0.1949135284974902,-1.4913269605518322
SVM,"{""C"": 0.25, ""epsilon"": 1e-05, ""kernel"": ""rbf""}",10,0.2,2016Q3,2018Q4,"[37.624244689941406, 45.50131607055664]","[38.91993840611286, 38.48784115447244]",25.433826302334232,0.0942877905425613,-0.6396159345797869
SVM,"{""C"": 0.25, ""epsilon"": 1e-05, ""kernel"": ""rbf""}",10,0.2,2016Q4,2019Q1,"[45.50131607055664, 47.59304428100586]","[38.15067794390321, 38.00842912726391]",72.94836425717543,0.1814673515885075,-65.69066409703215
SVM,"{""C"": 0.25, ""epsilon"": 1e-05, ""kernel"": ""rbf""}",10,0.2,2017Q1,2019Q2,"[47.59304428100586, 54.061824798583984]","[40.25167843013713, 40.08352437675785]",124.6442676195631,0.2064071515544993,-10.914819553176413
SVM,"{""C"": 0.25, ""epsilon"": 1e-05, ""kernel"": ""rbf""}",10,0.2,2017Q2,2019Q3,"[54.061824798583984, 71.09394836425781]","[42.87758124492744, 42.20818387120045]",479.7373471079408,0.3065914451237146,-5.614940195441605
SVM,"{""C"": 0.25, ""epsilon"": 1e-05, ""kernel"": ""rbf""}",10,0.2,2017Q3,2019Q4,"[71.09394836425781, 61.71084976196289]","[45.301220026129755, 44.50803599130616]",480.60081837618554,0.3207813106988428,-20.834936691216665
SVM,"{""C"": 0.25, ""epsilon"": 1e-05, ""kernel"": ""rbf""}",10,0.2,2017Q4,2020Q1,"[61.71084976196289, 88.76895141601562]","[45.948986839654, 45.79003892932033]",1047.8116206603345,0.3697904129664571,-4.724644917816957
SVM,"{""C"": 0.25, ""epsilon"": 1e-05, ""kernel"": ""rbf""}",10,0.2,2018Q1,2020Q2,"[88.76895141601562, 112.9261703491211]","[50.56082141767627, 50.43587144343306]",2682.449327646117,0.4918976380655253,-17.386439943979962
SVM,"{""C"": 0.25, ""epsilon"": 1e-05, ""kernel"": ""rbf""}",10,0.2,2018Q2,2020Q3,"[112.9261703491211, 129.6090850830078]","[55.710710681130344, 55.71071089196631]",4367.289266549333,0.5384130349725211,-61.76652561778603
