model_name,model_hyperparameters_dict,window_size,test_ratio,start_date,end_date,test_data_values_list,test_data_model_predictions_list,MSE_score,MAPE_score,R^2_score
RF,"{""bootstrap"": true, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_split"": 2, ""n_estimators"": 1000}",10,0.2,2015Q1,2017Q2,"[33.59050369262695, 36.087345123291016]","[28.923860624313328, 28.97278699111936]",36.19724747154472,0.1680378672286916,-22.224887242410308
RF,"{""bootstrap"": true, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_split"": 2, ""n_estimators"": 1000}",10,0.2,2015Q2,2017Q3,"[36.087345123291016, 39.76781463623047]","[31.343629894256594, 31.277235124588017]",47.29638730884783,0.1724773667085929,-12.966304641831384
RF,"{""bootstrap"": true, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_split"": 2, ""n_estimators"": 1000}",10,0.2,2015Q3,2017Q4,"[39.76781463623047, 39.58781814575195]","[33.65572097587588, 33.40755178260807]",37.776690616177255,0.1549049193747479,-4662.970833252072
RF,"{""bootstrap"": true, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_split"": 2, ""n_estimators"": 1000}",10,0.2,2015Q4,2018Q1,"[39.58781814575195, 43.845272064208984]","[36.34306645393375, 35.91519477653507]",36.70726966501939,0.1314142184963627,-7.100506254806515
RF,"{""bootstrap"": true, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_split"": 2, ""n_estimators"": 1000}",10,0.2,2016Q1,2018Q2,"[43.845272064208984, 53.656436920166016]","[36.893120849609375, 36.55453275680542]",170.40376626171462,0.2386454001544636,-6.08105608630548
RF,"{""bootstrap"": true, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_split"": 2, ""n_estimators"": 1000}",10,0.2,2016Q2,2018Q3,"[53.656436920166016, 37.624244689941406]","[40.30010397148133, 40.45040112876893]",93.18939502642324,0.1620192591933087,-0.4502426084214974
RF,"{""bootstrap"": true, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_split"": 2, ""n_estimators"": 1000}",10,0.2,2016Q3,2018Q4,"[37.624244689941406, 45.50131607055664]","[47.70375743103028, 46.370109882354726]",51.17568989259583,0.143496610773077,-2.2990897874974094
RF,"{""bootstrap"": true, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_split"": 2, ""n_estimators"": 1000}",10,0.2,2016Q4,2019Q1,"[45.50131607055664, 47.59304428100586]","[42.80069290924073, 45.311863243102955]",6.248576193561855,0.0536418069546327,-4.712557097790652
RF,"{""bootstrap"": true, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_split"": 2, ""n_estimators"": 1000}",10,0.2,2017Q1,2019Q2,"[47.59304428100586, 54.061824798583984]","[44.97476049423216, 46.31829957580563]",33.40879643194329,0.0991243132052568,-2.1935666884445806
RF,"{""bootstrap"": true, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_split"": 2, ""n_estimators"": 1000}",10,0.2,2017Q2,2019Q3,"[54.061824798583984, 71.09394836425781]","[47.33738494110111, 44.599375343322755]",373.5902454792821,0.2485270667186735,-4.151312788849359
