model_name,model_hyperparameters_dict,window_size,test_ratio,start_date,end_date,test_data_values_list,test_data_model_predictions_list,MSE_score,MAPE_score,R^2_score
XGB,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 32, ""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.8}",10,0.2,2015Q1,2017Q2,"[33.59050369262695, 36.087345123291016]","[28.852338790893555, 27.580799102783203]",47.40576591751778,0.1883888526068108,-29.416499733576657
XGB,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 32, ""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.8}",10,0.2,2015Q2,2017Q3,"[36.087345123291016, 39.76781463623047]","[33.15675735473633, 33.15530014038086]",26.156846313511775,0.1237431148835795,-6.7239405559360685
XGB,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 32, ""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.8}",10,0.2,2015Q3,2017Q4,"[39.76781463623047, 39.58781814575195]","[34.510581970214844, 34.49851608276367]",26.769745396479266,0.1303777273451092,-3304.035716635719
XGB,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 32, ""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.8}",10,0.2,2015Q4,2018Q1,"[39.58781814575195, 43.845272064208984]","[37.969879150390625, 37.888282775878906]",19.051723986995057,0.088366754648019,-3.204306414774563
XGB,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 32, ""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.8}",10,0.2,2016Q1,2018Q2,"[43.845272064208984, 53.656436920166016]","[38.93358612060547, 38.94451141357422]",120.28270546004931,0.1931053414433173,-3.998296705878228
XGB,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 32, ""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.8}",10,0.2,2016Q2,2018Q3,"[53.656436920166016, 37.624244689941406]","[42.00029754638672, 41.52922058105469]",75.55721090557199,0.1605126853173095,-0.1758450261178357
XGB,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 32, ""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.8}",10,0.2,2016Q3,2018Q4,"[37.624244689941406, 45.50131607055664]","[40.60371780395508, 40.17377471923828]",18.62997844356869,0.0981378390839205,-0.2009993759432786
XGB,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 32, ""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.8}",10,0.2,2016Q4,2019Q1,"[45.50131607055664, 47.59304428100586]","[43.21470642089844, 46.49807357788086]",3.2137722653060337,0.0366303258688856,-1.938086533020523
XGB,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 32, ""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.8}",10,0.2,2017Q1,2019Q2,"[47.59304428100586, 54.061824798583984]","[44.5382080078125, 45.57113265991211]",40.711938824861136,0.1106209193126699,-2.8916784062522267
XGB,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 32, ""learning_rate"": 0.0025, ""max_depth"": 2, ""n_estimators"": 1600, ""subsample"": 0.8}",10,0.2,2017Q2,2019Q3,"[54.061824798583984, 71.09394836425781]","[47.30864334106445, 45.84635543823242]",341.5232041782365,0.2400229428762753,-3.709150923132773
