Quarter,Close,High,Low,GDP,Real_GDP,Real_GDP_Per_Capita,GDP_Deflator,Unemployment,M2_Money_Supply,CPI,Fed_Funds_Rate,Consumer_Sentiment,Retail_Sales,Industrial_Production,Housing_Starts,Corp_Profits,PCE,Business_Investment,Labor_Force_Participation,Job_Openings_Rate,Real_Weekly_Earnings,Private_Job_Growth,CPI_BLS,Hourly_Earnings
2013Q1,44.116546630859375,56.939998626708984,49.189998626708984,16648.189,17662.4,55859.0,94.258,7.5,10572.9,232.282,0.14,78.6,414024,99.047,1010,1831.269,11290.1,2175.318,63.7,2.8,8.74,113388.0,231.679,23.75
2013Q2,38.49334716796875,58.400001525878906,48.68000030517578,16728.687,17709.671,55914.0,94.461,7.5,10692.3,232.445,0.09,84.1,415442,99.2221,839,1823.848,11344.4,2188.629,63.4,2.9,8.78,114004.0,231.797,23.87
2013Q3,39.802406311035156,56.5,49.27000045776367,16953.838,17860.45,56272.0,94.924,7.2,10850.0,233.544,0.08,77.5,417654,100.021,850,1862.618,11445.9,2230.759,63.3,2.8,8.79,114576.0,232.9,23.98
2013Q4,40.730960845947266,51.619998931884766,47.529998779296875,17192.019,18016.147,56642.0,95.426,6.7,11047.8,234.719,0.09,82.5,422794,100.374,1002,1913.254,11593.2,2290.541,62.8,3.0,8.81,115211.0,233.669,24.09
2014Q1,47.434715270996094,60.119998931884766,50.52000045776367,17197.738,17953.974,56345.0,95.788,6.7,11219.1,236.028,0.08,80.0,429132,101.7435,970,1848.159,11722.3,2335.499,62.9,2.9,8.8,115747.0,235.288,24.23
2014Q2,50.518802642822266,63.380001068115234,57.349998474121094,17518.508,18185.911,56968.0,96.33,6.1,11383.7,237.231,0.1,82.5,435438,102.5774,911,1952.58,11861.7,2407.208,62.8,3.2,8.82,116444.0,236.468,24.34
2014Q3,53.12067413330078,67.13999938964844,60.13999938964844,17804.228,18406.941,57536.0,96.726,5.9,11503.7,237.477,0.09,84.6,438459,102.9417,1023,2011.03,11991.4,2465.578,62.9,3.4,8.82,117172.0,237.498,24.48
2014Q4,56.92295837402344,75.0999984741211,60.58000183105469,17912.079,18500.031,57702.0,96.822,5.6,11701.9,236.252,0.12,93.6,438509,103.6151,1073,1977.683,12096.1,2492.333,62.9,3.5,8.88,117880.0,237.43,24.58
2015Q1,60.37096405029297,77.45999908447266,68.30999755859375,18063.529,18666.621,58121.0,96.769,5.4,11903.7,235.976,0.11,93.0,441895,101.7869,960,1877.034,12176.1,2497.171,62.9,3.7,9.06,118608.0,234.747,24.75
2015Q2,69.85861206054688,87.23999786376953,70.19999694824219,18279.784,18782.243,58376.0,97.325,5.3,12005.6,237.657,0.13,96.1,446572,100.4588,1205,1898.93,12307.9,2510.545,62.8,3.8,9.05,119191.0,236.222,24.89
2015Q3,70.44761657714844,92.8499984741211,77.7699966430664,18401.626,18857.418,58486.0,97.583,5.0,12154.8,237.498,0.14,87.2,448090,100.633,1224,1842.986,12386.4,2521.879,62.6,4.1,9.02,119941.0,238.034,25.01
2015Q4,71.37712860107422,88.4800033569336,75.16000366210938,18435.137,18892.206,58470.0,97.581,5.0,12368.7,237.761,0.24,92.6,450598,98.9471,1146,1746.728,12452.0,2500.42,62.5,3.9,9.12,120523.0,237.733,25.2
2016Q1,61.424896240234375,85.4000015258789,67.87999725341797,18525.933,19001.69,58704.0,97.496,5.0,12629.0,238.08,0.36,91.0,450462,98.1635,1111,1805.898,12537.0,2488.836,62.7,4.0,9.19,121096.0,237.652,25.37
2016Q2,67.62274932861328,78.80999755859375,71.52999877929688,18711.702,19062.709,58787.0,98.159,4.9,12835.4,240.222,0.38,93.5,458711,98.7315,1203,1865.417,12731.2,2511.643,62.9,3.9,9.2,121671.0,238.992,25.53
2016Q3,69.3585433959961,83.79000091552734,76.44999694824219,18892.639,19197.938,59084.0,98.41,5.0,13034.2,241.176,0.4,91.2,461400,98.6552,1068,1857.546,12846.6,2543.679,62.8,4.0,9.22,122231.0,240.101,25.69
