Quarter,Close,High,Low,GDP,Real_GDP,Real_GDP_Per_Capita,GDP_Deflator,Unemployment,M2_Money_Supply,CPI,Fed_Funds_Rate,Consumer_Sentiment,Retail_Sales,Industrial_Production,Housing_Starts,Corp_Profits,PCE,Business_Investment,Labor_Force_Participation,Job_Openings_Rate,Real_Weekly_Earnings,Private_Job_Growth,CPI_BLS,Hourly_Earnings
2016Q4,63.976139068603516,83.23999786376953,64.18000030517578,19089.379,19304.352,59296.0,98.886,4.7,13226.1,242.637,0.54,98.2,467852,99.0406,1252,1926.839,13005.9,2571.821,62.8,3.7,9.21,122771.0,241.741,25.9
2017Q1,73.6539306640625,86.13999938964844,73.54000091552734,19280.084,19398.343,59494.0,99.39,4.4,13428.7,243.892,0.79,96.9,472149,99.0492,1190,2045.666,13139.9,2603.148,62.8,3.7,9.18,123312.0,243.618,26.0
2017Q2,72.53428649902344,86.72000122070312,76.8499984741211,19438.643,19506.949,59736.0,99.65,4.3,13558.5,244.163,1.04,95.0,473546,100.337,1249,2019.85,13225.2,2640.229,63.0,4.0,9.22,123839.0,244.193,26.17
2017Q3,75.87067413330078,85.61000061035156,76.88999938964844,19692.595,19660.766,60099.0,100.162,4.3,13723.0,246.435,1.15,95.1,484163,99.7482,1181,2061.502,13417.3,2668.855,62.9,4.1,9.27,124398.0,244.243,26.35
2017Q4,75.38583374023438,89.08999633789062,81.41999816894531,20037.088,19882.352,60674.0,100.778,4.1,13873.8,247.805,1.3,95.9,492579,101.4871,1177,1864.83,13666.1,2732.168,62.7,4.2,9.22,124789.0,246.626,26.5
2018Q1,69.57154846191406,88.33000183105469,73.69000244140625,20328.553,20044.077,61093.0,101.419,4.0,13976.0,249.577,1.51,101.4,493022,102.1943,1318,1986.985,13793.2,2810.324,62.7,4.3,9.2,125286.0,248.859,26.72
2018Q2,77.25830841064453,87.2699966430664,75.4000015258789,20580.912,20150.476,61336.0,102.136,4.0,14109.9,251.018,1.82,98.2,499218,103.2256,1192,2063.283,13930.4,2846.516,62.9,4.4,9.23,125978.0,250.227,26.91
2018Q3,97.69606018066406,107.83999633789062,84.70999908447266,20798.73,20276.154,61622.0,102.577,3.7,14229.3,252.182,1.95,100.1,500033,104.1038,1250,2014.346,14017.8,2870.365,63.0,4.6,9.26,126584.0,251.214,27.1
2018Q4,105.88300323486328,119.83999633789062,104.16999816894531,20917.867,20304.874,61619.0,103.019,3.9,14382.6,252.767,2.27,98.3,496973,104.0451,1095,2015.959,14051.6,2898.677,62.9,4.7,9.27,127047.0,252.772,27.37
2019Q1,119.37300872802734,132.1300048828125,111.0999984741211,21111.6,20431.641,61939.0,103.328,3.8,14526.2,254.277,2.41,98.4,508944,102.8361,1191,2045.14,14248.6,2932.41,63.1,4.8,9.4,127551.0,252.561,27.59
2019Q2,102.4932861328125,131.35000610351562,110.0199966430664,21397.938,20602.275,62385.0,103.862,3.6,14771.4,255.213,2.38,98.2,513716,102.5425,1243,2059.292,14408.7,3000.782,62.8,4.6,9.37,127974.0,255.233,27.79
2019Q3,104.03538513183594,117.2300033569336,105.1500015258789,21717.171,20843.322,63022.0,104.192,3.5,15031.4,256.43,2.04,93.2,518188,102.4601,1311,2087.795,14590.6,3031.12,63.1,4.5,9.44,128364.0,255.802,28.03
2019Q4,122.97248840332031,137.0,101.36000061035156,21933.217,20985.448,63360.0,104.516,3.6,15348.0,258.63,1.55,99.3,524954,101.9421,1548,2120.925,14774.8,3010.301,63.3,4.6,9.48,128790.0,257.155,28.23
2020Q1,130.46612548828125,147.8699951171875,117.05999755859375,21727.657,20693.238,62415.0,104.999,4.4,15993.8,258.076,0.65,89.1,477676,97.606,1252,2023.162,13810.5,2961.131,63.3,4.5,9.46,129250.0,259.127,28.43
2020Q2,155.13816833496094,167.42999267578125,132.97999572753906,19935.444,19056.617,57440.0,104.612,11.0,18141.1,257.042,0.08,78.1,526970,91.6745,1254,1871.838,14040.8,2734.481,60.1,3.4,10.09,108515.0,256.032,30.04
2020Q3,140.5499267578125,170.75,145.05999755859375,21684.551,20548.793,61906.0,105.527,7.8,18596.6,259.997,0.09,80.4,551131,95.8914,1463,2553.784,14675.4,2852.216,61.5,4.5,9.81,117741.0,258.352,29.39
2020Q4,161.14297485351562,173.89999389648438,129.2100067138672,22068.767,20771.691,62544.0,106.244,6.7,19133.2,262.045,0.09,80.7,549300,98.2039,1635,2398.03,14827.3,2934.089,61.7,4.6,9.78,120656.0,260.319,29.55
2021Q1,179.0478973388672,218.0,161.77999877929688,22656.793,21058.379,63418.0,107.59,6.1,19823.4,264.847,0.07,84.9,616348,98.1929,1668,2716.546,15712.4,3000.219,61.4,4.8,9.81,121134.0,262.639,29.92
2021Q2,220.94357299804688,239.3699951171875,178.5800018310547,23368.861,21389.005,64383.0,109.256,5.9,20474.7,270.71,0.08,85.5,622125,99.6483,1638,2996.334,16183.6,3067.327,61.6,6.1,9.78,122702.0,266.625,30.23
2021Q3,223.13455200195312,275.8699951171875,220.1999969482422,23921.991,21571.421,64850.0,110.897,4.7,20978.6,273.942,0.08,72.8,620529,98.9955,1563,2952.754,16477.5,3085.885,61.8,7.0,9.74,124704.0,271.965,30.66
2021Q4,267.6232604980469,283.8999938964844,224.22000122070312,24777.038,21960.388,65925.0,112.826,3.9,21470.9,280.806,0.08,70.6,632515,101.1948,1757,2886.711,16905.5,3162.92,61.8,7.1,9.75,126526.0,276.528,31.15
2022Q1,278.61553955078125,295.3299865722656,231.8699951171875,25215.491,21903.85,65684.0,115.119,3.7,21720.8,287.467,0.2,59.4,664167,102.6732,1678,2898.216,17371.4,3319.478,62.2,7.0,9.68,127950.0,282.542,31.62
2022Q2,316.5134582519531,330.8500061035156,276.8299865722656,25805.791,21919.222,65631.0,117.731,3.6,21642.5,295.072,1.21,50.0,675702,102.8224,1542,3084.126,17747.6,3443.77,62.2,7.3,9.61,129572.0,288.582,31.96
2022Q3,316.684814453125,341.70001220703125,296.32000732421875,26272.011,22066.784,65939.0,119.057,3.5,21520.5,296.421,2.56,58.6,673312,103.5326,1470,2985.393,17987.2,3563.95,62.1,7.1,9.52,130767.0,294.94,32.35
2022Q4,359.2984619140625,375.25,317.04998779296875,26734.277,22249.459,66341.0,120.157,3.5,21219.3,298.808,4.1,59.8,666734,101.8266,1340,2834.572,18134.6,3643.894,62.2,6.4,9.56,131604.0,297.979,32.7
2023Q1,338.3705749511719,369.0,309.20001220703125,27164.359,22403.435,66673.0,121.251,3.5,20876.3,301.643,4.65,62.0,679067,102.8143,1342,2931.223,18511.3,3742.299,62.4,6.3,9.59,132288.0,300.456,33.05
2023Q2,463.286376953125,469.8699951171875,342.29998779296875,27453.815,22539.418,66945.0,121.804,3.6,20782.6,304.099,5.08,64.2,688810,102.3809,1415,2989.192,18742.1,3833.706,62.6,6.0,9.66,132753.0,302.858,33.42
2023Q3,531.746337890625,601.8400268554688,434.3399963378906,27967.697,22780.933,67499.0,122.768,3.8,20720.0,307.374,5.33,67.8,702109,103.3081,1363,3114.986,19024.9,3848.821,62.6,5.2,9.71,133199.0,304.615,33.84
2023Q4,578.143798828125,629.969970703125,516.5700073242188,28296.967,22960.6,67858.0,123.241,3.8,20701.4,308.735,5.33,69.7,699821,102.6309,1568,3239.649,19289.9,3901.469,62.7,5.2,9.69,133513.0,307.653,34.07
2024Q1,772.9381713867188,800.780029296875,579.0499877929688,28624.069,23053.545,67981.0,124.163,3.9,20901.5,312.107,5.33,79.4,703738,102.5186,1299,3314.945,19553.2,3957.828,62.5,5.1,9.75,133896.0,309.794,34.47
2024Q2,901.06884765625,915.5399780273438,718.2999877929688,29016.714,23223.906,68320.0,124.943,4.1,21065.5,313.131,5.33,68.2,702350,103.2534,1329,3413.018,19747.5,4018.471,62.7,4.6,9.72,134345.0,313.016,34.75
2024Q3,882.9534301757812,972.530029296875,747.5499877929688,29374.914,23400.294,68696.0,125.532,4.1,21272.2,314.851,5.13,70.1,716388,102.5954,1355,3402.982,20044.1,4089.446,62.7,4.5,9.81,134611.0,313.566,35.07
2024Q4,772.5086669921875,937.0,711.4000244140625,29723.864,23542.349,69006.0,126.257,4.1,21490.1,317.603,4.48,74.0,730336,103.1654,1526,3631.383,20408.1,4073.923,62.5,4.6,9.86,134851.0,315.564,35.48
