Quarter,Close,High,Low,GDP,Real_GDP,Real_GDP_Per_Capita,GDP_Deflator,Unemployment,M2_Money_Supply,CPI,Fed_Funds_Rate,Consumer_Sentiment,Retail_Sales,Industrial_Production,Housing_Starts,Corp_Profits,PCE,Business_Investment,Labor_Force_Participation,Job_Openings_Rate,Real_Weekly_Earnings,Private_Job_Growth,CPI_BLS,Hourly_Earnings
2013Q1,14.124947547912598,19.447500228881836,17.452499389648438,16648.189,17662.4,55859.0,94.258,7.5,10572.9,232.282,0.14,78.6,414024,99.047,1010,1831.269,11290.1,2175.318,63.7,2.8,8.74,113388.0,231.679,23.75
2013Q2,14.946200370788574,20.662500381469727,18.69499969482422,16728.687,17709.671,55914.0,94.461,7.5,10692.3,232.445,0.09,84.1,415442,99.2221,839,1823.848,11344.4,2188.629,63.4,2.9,8.78,114004.0,231.797,23.87
2013Q3,14.824726104736328,22.09749984741211,19.702499389648438,16953.838,17860.45,56272.0,94.924,7.2,10850.0,233.544,0.08,77.5,417654,100.021,850,1862.618,11445.9,2230.759,63.3,2.8,8.79,114576.0,232.9,23.98
2013Q4,15.95681381225586,22.4375,19.74250030517578,17192.019,18016.147,56642.0,95.426,6.7,11047.8,234.719,0.09,82.5,422794,100.374,1002,1913.254,11593.2,2290.541,62.8,3.0,8.81,115211.0,233.669,24.09
2014Q1,17.96259880065918,24.032499313354492,20.99250030517578,17197.738,17953.974,56345.0,95.788,6.7,11219.1,236.028,0.08,80.0,429132,101.7435,970,1848.159,11722.3,2335.499,62.9,2.9,8.8,115747.0,235.288,24.23
2014Q2,19.395702362060547,25.627500534057617,23.31999969482422,17518.508,18185.911,56968.0,96.33,6.1,11383.7,237.231,0.1,82.5,435438,102.5774,911,1952.58,11861.7,2407.208,62.8,3.2,8.82,116444.0,236.468,24.34
2014Q3,17.902233123779297,25.614999771118164,22.947500228881836,17804.228,18406.941,57536.0,96.726,5.9,11503.7,237.477,0.09,84.6,438459,102.9417,1023,2011.03,11991.4,2465.578,62.9,3.4,8.82,117172.0,237.498,24.48
2014Q4,20.4121036529541,27.709999084472656,22.582500457763672,17912.079,18500.031,57702.0,96.822,5.6,11701.9,236.252,0.12,93.6,438509,103.6151,1073,1977.683,12096.1,2492.333,62.9,3.5,8.88,117880.0,237.43,24.58
2015Q1,20.128034591674805,28.15999984741211,24.3700008392334,18063.529,18666.621,58121.0,96.769,5.4,11903.7,235.976,0.11,93.0,441895,101.7869,960,1877.034,12176.1,2497.171,62.9,3.7,9.06,118608.0,234.747,24.75
2015Q2,19.1091365814209,26.657499313354492,24.3075008392334,18279.784,18782.243,58376.0,97.325,5.3,12005.6,237.657,0.13,96.1,446572,100.4588,1205,1898.93,12307.9,2510.545,62.8,3.8,9.05,119191.0,236.222,24.89
