Quarter,Close,High,Low,GDP,Real_GDP,Real_GDP_Per_Capita,GDP_Deflator,Unemployment,M2_Money_Supply,CPI,Fed_Funds_Rate,Consumer_Sentiment,Retail_Sales,Industrial_Production,Housing_Starts,Corp_Profits,PCE,Business_Investment,Labor_Force_Participation,Job_Openings_Rate,Real_Weekly_Earnings,Private_Job_Growth,CPI_BLS,Hourly_Earnings
2013Q1,39.004825592041016,42.7400016784668,38.48249816894531,16648.189,17662.4,55859.0,94.258,7.5,10572.9,232.282,0.14,78.6,414024,99.047,1010,1831.269,11290.1,2175.318,63.7,2.8,8.74,113388.0,231.679,23.75
2013Q2,42.046630859375,46.307498931884766,40.317501068115234,16728.687,17709.671,55914.0,94.461,7.5,10692.3,232.445,0.09,84.1,415442,99.2221,839,1823.848,11344.4,2188.629,63.4,2.9,8.78,114004.0,231.797,23.87
2013Q3,44.04888916015625,50.21500015258789,42.747501373291016,16953.838,17860.45,56272.0,94.924,7.2,10850.0,233.544,0.08,77.5,417654,100.021,850,1862.618,11445.9,2230.759,63.3,2.8,8.79,114576.0,232.9,23.98
2013Q4,51.43189239501953,55.68000030517578,45.02750015258789,17192.019,18016.147,56642.0,95.426,6.7,11047.8,234.719,0.09,82.5,422794,100.374,1002,1913.254,11593.2,2290.541,62.8,3.0,8.81,115211.0,233.669,24.09
2014Q1,49.94655227661133,58.875,52.630001068115234,17197.738,17953.974,56345.0,95.788,6.7,11219.1,236.028,0.08,80.0,429132,101.7435,970,1848.159,11722.3,2335.499,62.9,2.9,8.8,115747.0,235.288,24.23
2014Q2,48.84705352783203,54.540000915527344,48.709999084472656,17518.508,18185.911,56968.0,96.33,6.1,11383.7,237.231,0.1,82.5,435438,102.5774,911,1952.58,11861.7,2407.208,62.8,3.2,8.82,116444.0,236.468,24.34
2014Q3,49.557945251464844,56.1875,52.0525016784668,17804.228,18406.941,57536.0,96.726,5.9,11503.7,237.477,0.09,84.6,438459,102.9417,1023,2011.03,11991.4,2465.578,62.9,3.4,8.82,117172.0,237.498,24.48
2014Q4,61.016632080078125,67.33000183105469,48.79750061035156,17912.079,18500.031,57702.0,96.822,5.6,11701.9,236.252,0.12,93.6,438509,103.6151,1073,1977.683,12096.1,2492.333,62.9,3.5,8.88,117880.0,237.43,24.58
2015Q1,60.99698257446289,69.6624984741211,61.29249954223633,18063.529,18666.621,58121.0,96.769,5.4,11903.7,235.976,0.11,93.0,441895,101.7869,960,1877.034,12176.1,2497.171,62.9,3.7,9.06,118608.0,234.747,24.75
2015Q2,62.72917938232422,70.69000244140625,64.3499984741211,18279.784,18782.243,58376.0,97.325,5.3,12005.6,237.657,0.13,96.1,446572,100.4588,1205,1898.93,12307.9,2510.545,62.8,3.8,9.05,119191.0,236.222,24.89
2015Q3,65.18057250976562,76.91999816894531,60.0,18401.626,18857.418,58486.0,97.583,5.0,12154.8,237.498,0.14,87.2,448090,100.633,1224,1842.986,12386.4,2521.879,62.6,4.1,9.02,119941.0,238.034,25.01
2015Q4,72.693603515625,81.01000213623047,68.36000061035156,18435.137,18892.206,58470.0,97.581,5.0,12368.7,237.761,0.24,92.6,450598,98.9471,1146,1746.728,12452.0,2500.42,62.5,3.9,9.12,120523.0,237.733,25.2
2016Q1,71.83204650878906,77.0,66.12000274658203,18525.933,19001.69,58704.0,97.496,5.0,12629.0,238.08,0.36,91.0,450462,98.1635,1111,1805.898,12537.0,2488.836,62.7,4.0,9.19,121096.0,237.652,25.37
2016Q2,69.78581237792969,81.7300033569336,73.25,18711.702,19062.709,58787.0,98.159,4.9,12835.4,240.222,0.38,93.5,458711,98.7315,1203,1865.417,12731.2,2511.643,62.9,3.9,9.2,121671.0,238.992,25.53
2016Q3,77.94664001464844,83.79000091552734,73.83000183105469,18892.639,19197.938,59084.0,98.41,5.0,13034.2,241.176,0.4,91.2,461400,98.6552,1068,1857.546,12846.6,2543.679,62.8,4.0,9.22,122231.0,240.101,25.69
2016Q4,73.69037628173828,83.95999908447266,75.16999816894531,19089.379,19304.352,59296.0,98.886,4.7,13226.1,242.637,0.54,98.2,467852,99.0406,1252,1926.839,13005.9,2571.821,62.8,3.7,9.21,122771.0,241.741,25.9
2017Q1,84.0980453491211,92.05000305175781,78.48999786376953,19280.084,19398.343,59494.0,99.39,4.4,13428.7,243.892,0.79,96.9,472149,99.0492,1190,2045.666,13139.9,2603.148,62.8,3.7,9.18,123312.0,243.618,26.0
2017Q2,88.90187072753906,96.5999984741211,88.12999725341797,19438.643,19506.949,59736.0,99.65,4.3,13558.5,244.163,1.04,95.0,473546,100.337,1249,2019.85,13225.2,2640.229,63.0,4.0,9.22,123839.0,244.193,26.17
2017Q3,99.9264144897461,106.83999633789062,93.19000244140625,19692.595,19660.766,60099.0,100.162,4.3,13723.0,246.435,1.15,95.1,484163,99.7482,1181,2061.502,13417.3,2668.855,62.9,4.1,9.27,124398.0,244.243,26.35
2017Q4,108.45496368408203,114.91999816894531,104.9000015258789,20037.088,19882.352,60674.0,100.778,4.1,13873.8,247.805,1.3,95.9,492579,101.4871,1177,1864.83,13666.1,2732.168,62.7,4.2,9.22,124789.0,246.626,26.5
2018Q1,113.97969818115234,126.87999725341797,111.0199966430664,20328.553,20044.077,61093.0,101.419,4.0,13976.0,249.577,1.51,101.4,493022,102.1943,1318,1986.985,13793.2,2810.324,62.7,4.3,9.2,125286.0,248.859,26.72
2018Q2,126.4075698852539,136.69000244140625,116.70999908447266,20580.912,20150.476,61336.0,102.136,4.0,14109.9,251.018,1.82,98.2,499218,103.2256,1192,2063.283,13930.4,2846.516,62.9,4.4,9.23,125978.0,250.227,26.91
2018Q3,143.45811462402344,150.63999938964844,131.14999389648438,20798.73,20276.154,61622.0,102.577,3.7,14229.3,252.182,1.95,100.1,500033,104.1038,1250,2014.346,14017.8,2870.365,63.0,4.6,9.26,126584.0,251.214,27.1
2018Q4,126.3365249633789,151.55999755859375,121.5999984741211,20917.867,20304.874,61619.0,103.019,3.9,14382.6,252.767,2.27,98.3,496973,104.0451,1095,2015.959,14051.6,2898.677,62.9,4.7,9.27,127047.0,252.772,27.37
2019Q1,149.81764221191406,156.82000732421875,127.87999725341797,21111.6,20431.641,61939.0,103.328,3.8,14526.2,254.277,2.41,98.4,508944,102.8361,1191,2045.14,14248.6,2932.41,63.1,4.8,9.4,127551.0,252.561,27.59
2019Q2,166.72544860839844,174.94000244140625,156.32000732421875,21397.938,20602.275,62385.0,103.862,3.6,14771.4,255.213,2.38,98.2,513716,102.5425,1243,2059.292,14408.7,3000.782,62.8,4.6,9.37,127974.0,255.233,27.79
2019Q3,165.48439025878906,187.0500030517578,166.97999572753906,21717.171,20843.322,63022.0,104.192,3.5,15031.4,256.43,2.04,93.2,518188,102.4601,1311,2087.795,14590.6,3031.12,63.1,4.5,9.44,128364.0,255.802,28.03
2019Q4,181.07443237304688,189.88999938964844,168.58999633789062,21933.217,20985.448,63360.0,104.516,3.6,15348.0,258.63,1.55,99.3,524954,101.9421,1548,2120.925,14774.8,3010.301,63.3,4.6,9.48,128790.0,257.155,28.23
2020Q1,155.4920654296875,214.1699981689453,133.92999267578125,21727.657,20693.238,62415.0,104.999,4.4,15993.8,258.076,0.65,89.1,477676,97.606,1252,2023.162,13810.5,2961.131,63.3,4.5,9.46,129250.0,259.127,28.43
2020Q2,186.7346954345703,202.17999267578125,150.60000610351562,19935.444,19056.617,57440.0,104.612,11.0,18141.1,257.042,0.08,78.1,526970,91.6745,1254,1871.838,14040.8,2734.481,60.1,3.4,10.09,108515.0,256.032,30.04
2020Q3,193.60040283203125,217.35000610351562,187.17999267578125,21684.551,20548.793,61906.0,105.527,7.8,18596.6,259.997,0.09,80.4,551131,95.8914,1463,2553.784,14675.4,2852.216,61.5,4.5,9.81,117741.0,258.352,29.39
